country,scheme,stream,material,rate,unit,currency,effective_from,source
,,household,paper,0.07,per_kg,EUR,,
,,household,glass,0.102,per_kg,EUR,,
,,household,steel,0.07,per_kg,EUR,,
,,household,aluminum,0.09,per_kg,EUR,,
,,household,plastic,0.99,per_kg,EUR,,
,,household,beverage_cartons,0.97,per_kg,EUR,,
,,household,wood,0.02,per_kg,EUR,,
,,household,plastic_film,0.18,per_kg,EUR,,
AT,ARA,household,paper,0.190,kg,EUR,2025-01-01,https://www.ara.at/uploads/Dokumente/Tarifbl%C3%A4tter/ARA-tariff-rates-2025.pdf
AT,ARA,household,glass,0.102,kg,EUR,2025-01-01,https://www.ara.at/uploads/Dokumente/Tarifbl%C3%A4tter/ARA-tariff-rates-2025.pdf
AT,ARA,household,steel,0.450,kg,EUR,2025-01-01,https://www.ara.at/uploads/Dokumente/Tarifbl%C3%A4tter/ARA-tariff-rates-2025.pdf
AT,ARA,household,aluminium,0.480,kg,EUR,2025-01-01,https://www.ara.at/uploads/Dokumente/Tarifbl%C3%A4tter/ARA-tariff-rates-2025.pdf
AT,ARA,household,plastic,0.990,kg,EUR,2025-01-01,https://www.ara.at/uploads/Dokumente/Tarifbl%C3%A4tter/ARA-tariff-rates-2025.pdf
AT,ARA,household,beverage-cartons,0.970,kg,EUR,2025-01-01,https://www.ara.at/uploads/Dokumente/Tarifbl%C3%A4tter/ARA-tariff-rates-2025.pdf
AT,ARA,household,other-composites,1.080,kg,EUR,2025-01-01,https://www.ara.at/uploads/Dokumente/Tarifbl%C3%A4tter/ARA-tariff-rates-2025.pdf
AT,ARA,household,ceramics,0.140,kg,EUR,2025-01-01,https://www.ara.at/uploads/Dokumente/Tarifbl%C3%A4tter/ARA-tariff-rates-2025.pdf
AT,ARA,household,wood,0.020,kg,EUR,2025-01-01,https://www.ara.at/uploads/Dokumente/Tarifbl%C3%A4tter/ARA-tariff-rates-2025.pdf
AT,Interzero,household,paper,185,tonnes,EUR,2025-01-01,https://licensing.interzero.at/wp-content/uploads/2024/12/VP_Interzero-Tarifliste_ab_2025_01_01_HHundGew-Stand-25.11.2024.pdf
AT,Interzero,household,glass,97,tonnes,EUR,2025-01-01,https://licensing.interzero.at/wp-content/uploads/2024/12/VP_Interzero-Tarifliste_ab_2025_01_01_HHundGew-Stand-25.11.2024.pdf
AT,Interzero,household,steel,595,tonnes,EUR,2025-01-01,https://licensing.interzero.at/wp-content/uploads/2024/12/VP_Interzero-Tarifliste_ab_2025_01_01_HHundGew-Stand-25.11.2024.pdf
AT,Interzero,household,aluminium,620,tonnes,EUR,2025-01-01,https://licensing.interzero.at/wp-content/uploads/2024/12/VP_Interzero-Tarifliste_ab_2025_01_01_HHundGew-Stand-25.11.2024.pdf
AT,Interzero,household,plastic,935,tonnes,EUR,2025-01-01,https://licensing.interzero.at/wp-content/uploads/2024/12/VP_Interzero-Tarifliste_ab_2025_01_01_HHundGew-Stand-25.11.2024.pdf
AT,Interzero,household,beverage-cartons,935,tonnes,EUR,2025-01-01,https://licensing.interzero.at/wp-content/uploads/2024/12/VP_Interzero-Tarifliste_ab_2025_01_01_HHundGew-Stand-25.11.2024.pdf
AT,Interzero,household,other-composites,990,tonnes,EUR,2025-01-01,https://licensing.interzero.at/wp-content/uploads/2024/12/VP_Interzero-Tarifliste_ab_2025_01_01_HHundGew-Stand-25.11.2024.pdf
AT,Interzero,household,ceramics,140,tonnes,EUR,2025-01-01,https://licensing.interzero.at/wp-content/uploads/2024/12/VP_Interzero-Tarifliste_ab_2025_01_01_HHundGew-Stand-25.11.2024.pdf
AT,Interzero,household,wood,20,tonnes,EUR,2025-01-01,https://licensing.interzero.at/wp-content/uploads/2024/12/VP_Interzero-Tarifliste_ab_2025_01_01_HHundGew-Stand-25.11.2024.pdf
