countryIso,schemeName,stream,material,packagingType,rate,currency,unit,sourceUrl,effectiveFrom,effectiveTo
DK,ERP Denmark,household,Plastic,,0.40-1.20,EUR,per_kg,placeholder:openai,,
DK,ERP Denmark,household,Glass,,0.05-0.15,EUR,per_kg,placeholder:openai,,
DK,ERP Denmark,household,Paper/Cardboard,,0.10-0.30,EUR,per_kg,placeholder:openai,,
DK,Dansk Retursystem,household,Plastic,,0.40-1.20,EUR,per_kg,placeholder:openai,,
DK,Dansk Retursystem,household,Glass,,0.05-0.15,EUR,per_kg,placeholder:openai,,
DK,Dansk Retursystem,household,Paper/Cardboard,,0.10-0.30,EUR,per_kg,placeholder:openai,,
DK,VANA,household,Plastic,normal,5.74,DKK,per_kg,https://vana.dk,2025-01-01,
DK,VANA,household,Plastic,red,7.35,DKK,per_kg,https://vana.dk,2025-01-01,
DK,VANA,household,Cardboard,normal,3.32,DKK,per_kg,https://vana.dk,2025-01-01,
DK,VANA,household,Cardboard,red,4.25,DKK,per_kg,https://vana.dk,2025-01-01,
DK,VANA,household,Glass,normal,6.03,DKK,per_kg,https://vana.dk,2025-01-01,
DK,VANA,household,Glass,red,7.72,DKK,per_kg,https://vana.dk,2025-01-01,
DK,VANA,commercial,Plastic,normal,1.94,DKK,per_kg,https://vana.dk,2025-01-01,
DK,VANA,commercial,Plastic,red,2.46,DKK,per_kg,https://vana.dk,2025-01-01,
DK,VANA,commercial,Cardboard,normal,2.86,DKK,per_kg,https://vana.dk,2025-01-01,
DK,VANA,commercial,Cardboard,red,3.66,DKK,per_kg,https://vana.dk,2025-01-01,
DK,DPA (EEE),both,EEE general fee,,67.05,DKK,per_tonne,https://producentansvar.dk,2025-01-01,
DK,DPA (EEE),household,EEE household supplement,,22.07,DKK,per_tonne,https://producentansvar.dk,2025-01-01,
DK,DPA (EEE),both,EEE minimum fee (≤3.73 t),minimum,250,DKK,flat_fee,https://producentansvar.dk,2025-01-01,
DK,DPA (Batteries),both,Batteries general fee,,77.65,DKK,per_tonne,https://producentansvar.dk,2025-01-01,
DK,DPA (Batteries),both,Portable batteries supplement,,267.45,DKK,per_tonne,https://producentansvar.dk,2025-01-01,
DK,DPA (Batteries),both,Batteries minimum fee (≤3.22 t),minimum,250,DKK,flat_fee,https://producentansvar.dk,2025-01-01,
DK,Danish EPA (SUP),both,Tobacco filters,,,DKK,per_unit,https://mst.dk,2025-01-01,
